feature,importance,feature_label,target_name,target_col,population,feature_set,model_type
received_vote_yn_d0_3,29,D0-D3 수신 경험 여부,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
received_vote_days_d0_3,24,D0-D3 수신 발생일수,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
sent_vote_active_days_d0_3,20,D0-D3 발신 활동일수,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
point_use_after_received_vote_yn_d0_3,8,수신 후 포인트 사용 여부,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
sent_vote_experience_d0_3,0,D0-D3 발신 경험 여부,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,LightGBM
grade_users_d0_3,2456,D0-D3 같은 학년 유저 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B1_관계망,LightGBM
friends_d3,2243,D3 친구 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B1_관계망,LightGBM
grade_active_users_d0_3,1300,D0-D3 같은 학년 활동 유저 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B1_관계망,LightGBM
class_users_d0_3,1122,D0-D3 같은 반 유저 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B1_관계망,LightGBM
class_active_users_d0_3,379,D0-D3 같은 반 활동 유저 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B1_관계망,LightGBM
grade_users_d0_3,2457,D0-D3 같은 학년 유저 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
friends_d3,2228,D3 친구 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
grade_active_users_d0_3,1281,D0-D3 같은 학년 활동 유저 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
class_users_d0_3,1153,D0-D3 같은 반 유저 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
class_active_users_d0_3,372,D0-D3 같은 반 활동 유저 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
sent_vote_active_days_d0_3,8,D0-D3 발신 활동일수,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
sent_vote_count_d0_3,1,D0-D3 발신 투표 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
sent_vote_experience_d0_3,0,D0-D3 발신 경험 여부,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
sent_vote_complete_count_d0_3,0,D0-D3 완료 발신 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
sent_vote_distinct_chosen_users_d0_3,0,D0-D3 선택 고유 유저 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
sent_vote_distinct_questions_d0_3,0,D0-D3 고유 질문 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
sent_vote_complete_rate_d0_3,0,D0-D3 발신 완료율,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
grade_users_d0_3,2406,D0-D3 같은 학년 유저 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
friends_d3,2158,D3 친구 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
class_users_d0_3,1211,D0-D3 같은 반 유저 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
grade_active_users_d0_3,1192,D0-D3 같은 학년 활동 유저 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
class_active_users_d0_3,382,D0-D3 같은 반 활동 유저 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
received_vote_count_d0_3,93,D0-D3 수신 Ping 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
received_vote_days_d0_3,36,D0-D3 수신 발생일수,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
first_received_vote_day_d0_3,15,첫 수신 발생일,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
received_vote_yn_d0_3,5,D0-D3 수신 경험 여부,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
point_use_after_received_vote_count_d0_3,2,수신 후 포인트 사용 횟수,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
point_use_after_received_vote_yn_d0_3,0,수신 후 포인트 사용 여부,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
grade_users_d0_3,2315,D0-D3 같은 학년 유저 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
friends_d3,2226,D3 친구 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
