row_count,positive_count,positive_rate,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,task,target_name,target_col,population,feature_set,feature_count,model_type,train_row_count,test_row_count,target_mean,target_median,target_positive_rate,mae,rmse,r2
194559,,,,,,,,,,regression,bought_hearts,bought_hearts_d4_28,전체 유저,환경축 + 수신/발신축,18,LightGBM,453970,194559,52.46211175016319,0.0,0.0428456149548466,98.87403762357665,434.24822173969716,0.0011547849392722354
3294,1140.0,0.3460837887067395,0.5,0.5248937462052217,0.36421725239616615,0.5,0.4214417744916821,0.5391684585186272,0.376860464921924,classification,returned,returned_d4_28,관계 경험자,환경축 only,5,Baseline Logistic,7685,3294,,,,,,
3294,1140.0,0.3460837887067395,0.5,0.6338797814207651,0.47569955817378495,0.5666666666666667,0.5172137710168134,0.6562531561028849,0.49418458483786726,classification,returned,returned_d4_28,관계 경험자,환경축 only,5,LightGBM,7685,3294,,,,,,
3294,121.0,0.03673345476624165,0.5,0.5534304796599878,0.0389344262295082,0.47107438016528924,0.07192429022082018,0.5198914914841912,0.04146727306898665,classification,paid,paid_d4_28,관계 경험자,환경축 only,5,Baseline Logistic,7685,3294,,,,,,
3294,121.0,0.03673345476624165,0.5,0.8205828779599271,0.03373015873015873,0.14049586776859505,0.0544,0.4692198899287115,0.03502588715542265,classification,paid,paid_d4_28,관계 경험자,환경축 only,5,LightGBM,7685,3294,,,,,,
3294,,,,,,,,,,regression,active_days,active_days_d4_28,관계 경험자,환경축 only,5,Baseline Poisson,7685,3294,3.818154219793564,1.0,0.6010928961748634,3.1767625879952868,4.468574886876722,0.2433559442282962
3294,,,,,,,,,,regression,active_days,active_days_d4_28,관계 경험자,환경축 only,5,LightGBM,7685,3294,3.818154219793564,1.0,0.6010928961748634,2.8528941597390265,4.164492047660935,0.3428301690238029
3294,,,,,,,,,,regression,payment_count,payment_count_d4_28,관계 경험자,환경축 only,5,Baseline Poisson,7685,3294,0.04948391013964785,0.0,0.03430479659987857,0.09993442351272164,0.33616605278144035,0.001842252170055736
3294,,,,,,,,,,regression,payment_count,payment_count_d4_28,관계 경험자,환경축 only,5,LightGBM,7685,3294,0.04948391013964785,0.0,0.03430479659987857,0.0956381455343544,0.3408714047801816,-0.026295946225187272
3294,,,,,,,,,,regression,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 only,5,Baseline Poisson,7685,3294,36.90619307832423,0.0,0.03430479659987857,76.42472541960059,260.13385086540194,0.001181778576078596
3294,,,,,,,,,,regression,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 only,5,LightGBM,7685,3294,36.90619307832423,0.0,0.03430479659987857,71.2310491990424,263.8349956651935,-0.027442480820554893
3294,1140.0,0.3460837887067395,0.5,0.5916818457802064,0.42435424354243545,0.5043859649122807,0.46092184368737477,0.6078226555246053,0.4630268801900839,classification,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,18,Baseline Logistic,7685,3294,,,,,,
3294,1140.0,0.3460837887067395,0.5,0.6481481481481481,0.49269792467332824,0.5622807017543859,0.5251945923801721,0.6885856993923993,0.5323182417651021,classification,returned,returned_d4_28,관계 경험자,환경축 + 수신/발신축,18,LightGBM,7685,3294,,,,,,
3294,121.0,0.03673345476624165,0.5,0.5601092896174863,0.045205479452054796,0.5454545454545454,0.08349146110056926,0.5792234582596443,0.05279566591268961,classification,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,18,Baseline Logistic,7685,3294,,,,,,
3294,121.0,0.03673345476624165,0.5,0.8822100789313904,0.028268551236749116,0.06611570247933884,0.039603960396039604,0.56364001010593,0.04111731238576327,classification,paid,paid_d4_28,관계 경험자,환경축 + 수신/발신축,18,LightGBM,7685,3294,,,,,,
3294,,,,,,,,,,regression,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,18,Baseline Poisson,7685,3294,3.818154219793564,1.0,0.6010928961748634,2.8331250797571585,4.041125563092145,0.3811887036190097
3294,,,,,,,,,,regression,active_days,active_days_d4_28,관계 경험자,환경축 + 수신/발신축,18,LightGBM,7685,3294,3.818154219793564,1.0,0.6010928961748634,2.6378091540619946,3.8532080035104115,0.4374016540413119
3294,,,,,,,,,,regression,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,18,Baseline Poisson,7685,3294,0.04948391013964785,0.0,0.03430479659987857,0.09931085905329903,0.3362479784618598,0.0013556788442918855
3294,,,,,,,,,,regression,payment_count,payment_count_d4_28,관계 경험자,환경축 + 수신/발신축,18,LightGBM,7685,3294,0.04948391013964785,0.0,0.03430479659987857,0.09070323514001721,0.33898998432456584,-0.014998046612211269
3294,,,,,,,,,,regression,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,18,Baseline Poisson,7685,3294,36.90619307832423,0.0,0.03430479659987857,75.62551322011764,259.8942471737901,0.0030209111288798107
3294,,,,,,,,,,regression,bought_hearts,bought_hearts_d4_28,관계 경험자,환경축 + 수신/발신축,18,LightGBM,7685,3294,36.90619307832423,0.0,0.03430479659987857,67.80808452764956,262.434657472395,-0.016564858442861485
