row_count,positive_count,positive_rate,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,task,target_name,target_col,population,feature_set,feature_count,model_type,train_row_count,test_row_count
194559,8405,0.043200263159247326,0.5,0.5571317697973366,0.05667111369570919,0.5913146936347412,0.10342961791392657,0.6046829588241681,0.06417645380598691,classification,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,18,LightGBM,453970,194559
8405,2036,0.24223676383105294,0.5,0.49815585960737657,0.26053555750658475,0.5830058939096268,0.3601334951456311,0.534480697731306,0.26210117082372913,classification,repeat_paid,repeat_paid_d4_plus,결제 유저,B1_관계망,5,Baseline Logistic,19610,8405
8405,2036,0.24223676383105294,0.5,0.5480071386079715,0.2537021514389494,0.44597249508840864,0.3234194122885129,0.5162843661016447,0.25273662754309956,classification,repeat_paid,repeat_paid_d4_plus,결제 유저,B1_관계망,5,LightGBM,19610,8405
8405,2036,0.24223676383105294,0.5,0.496133254015467,0.2595670238355565,0.5830058939096268,0.35920714177636553,0.5322663558537007,0.2586230392292234,classification,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,12,Baseline Logistic,19610,8405
8405,2036,0.24223676383105294,0.5,0.5480071386079715,0.2564244266371926,0.45579567779960706,0.3282051282051282,0.5163671899219606,0.2508854043965678,classification,repeat_paid,repeat_paid_d4_plus,결제 유저,B2_관계망_발신,12,LightGBM,19610,8405
8405,2036,0.24223676383105294,0.5,0.49315883402736466,0.2589943649761595,0.5869351669941061,0.3593984962406015,0.5338880909834318,0.2605187838966537,classification,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,11,Baseline Logistic,19610,8405
8405,2036,0.24223676383105294,0.5,0.5488399762046401,0.2536475869809203,0.444007858546169,0.32285714285714284,0.5195452648372627,0.2529022536947103,classification,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,11,LightGBM,19610,8405
8405,2036,0.24223676383105294,0.5,0.49315883402736466,0.2599309153713299,0.5913555992141454,0.36112777444511096,0.5339107634258646,0.26037407730112305,classification,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,18,Baseline Logistic,19610,8405
8405,2036,0.24223676383105294,0.5,0.5440809042236764,0.2516592920353982,0.44695481335952847,0.32200990799716916,0.5168822939329469,0.2521005308455846,classification,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,18,LightGBM,19610,8405
8405,2425,0.28851873884592505,0.5,0.5622843545508626,0.32308126410835214,0.47216494845360824,0.3836488524040878,0.5579410750612006,0.3358694091356803,classification,high_value_paid,high_value_paid_d4_plus,결제 유저,B1_관계망,5,Baseline Logistic,19610,8405
8405,2425,0.28851873884592505,0.5,0.5577632361689471,0.31741096664782364,0.46309278350515465,0.3766560456146235,0.5374392304244389,0.31632843384659237,classification,high_value_paid,high_value_paid_d4_plus,결제 유저,B1_관계망,5,LightGBM,19610,8405
8405,2425,0.28851873884592505,0.5,0.5804878048780487,0.3314967860422406,0.4465979381443299,0.38053408292340124,0.5628142261145399,0.3363949261376707,classification,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,12,Baseline Logistic,19610,8405
8405,2425,0.28851873884592505,0.5,0.5509815585960738,0.31279489314460174,0.46474226804123714,0.373921698739217,0.54050467193049,0.3179758030191179,classification,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,12,LightGBM,19610,8405
8405,2425,0.28851873884592505,0.5,0.5775133848899464,0.3308293269230769,0.454020618556701,0.382756822527377,0.5633719270420301,0.337521567238499,classification,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,11,Baseline Logistic,19610,8405
8405,2425,0.28851873884592505,0.5,0.5546698393813206,0.31478358628442943,0.4618556701030928,0.374394116663881,0.5407071337447851,0.31898873820404694,classification,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,11,LightGBM,19610,8405
8405,2425,0.28851873884592505,0.5,0.5798929208804283,0.3323226197695573,0.4519587628865979,0.38301590075135417,0.5637483018998035,0.3381681242535426,classification,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,18,Baseline Logistic,19610,8405
8405,2425,0.28851873884592505,0.5,0.5537180249851279,0.3132394366197183,0.4585567010309278,0.3722175732217573,0.5385329793469641,0.31918114426781974,classification,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,18,LightGBM,19610,8405
