user_id,sender_group,logical_invalid_reasons,active_days_d0_28,active_days_d8_28,payment_active_days_d0_28,payment_active_days_d8_28,sent_vote_active_days_d0,sent_vote_active_days_d0_1,sent_vote_active_days_d0_3,sent_vote_active_days_d0_7,sent_vote_active_days_d0_14,sent_vote_active_days_d0_28,hackle_question_active_days_d0_7
1578267,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
1578269,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
1578272,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
1578278,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
1578280,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
1578281,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
1578284,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
1578285,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
1578286,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
1578291,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
1578292,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
1578294,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
1578295,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
1578296,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
1578297,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
1578298,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
1578312,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
1578313,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
1578314,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
1578315,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
1578316,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
1578317,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
1578319,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
1578321,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
1578323,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
1578324,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
1578327,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
1578328,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
1578330,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
1578332,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
1578333,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
1578336,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
1578339,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
1578351,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
1578353,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
1578357,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
1578360,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
1578362,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
1578364,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1578365,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
1578370,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
1578371,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
1578374,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
1578375,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
1578376,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
1578378,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
1578383,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
1578384,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
1578385,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
