target_col,target_label,feature,feature_label,spearman_corr,abs_corr
payment_count_d4_28,payment count d4 28,sent_vote_active_days_d0_3,D0-D3 발신 활동일수,-0.003908432779195958,0.003908432779195958
payment_count_d4_28,payment count d4 28,sent_vote_distinct_questions_d0_3,D0-D3 고유 질문 수,-0.0039003339958985812,0.0039003339958985812
payment_count_d4_28,payment count d4 28,sent_vote_count_d0_3,D0-D3 발신 투표 수,-0.0038998964253243915,0.0038998964253243915
payment_count_d4_28,payment count d4 28,sent_vote_distinct_chosen_users_d0_3,D0-D3 선택 고유 유저 수,-0.0038990335665355785,0.0038990335665355785
payment_count_d4_28,payment count d4 28,sent_vote_complete_rate_d0_3,D0-D3 발신 완료율,-0.003893423961776636,0.003893423961776636
payment_count_d4_28,payment count d4 28,sent_vote_complete_count_d0_3,D0-D3 완료 발신 수,-0.0038795124005951763,0.0038795124005951763
payment_count_d4_28,payment count d4 28,point_use_after_received_vote_yn_d0_3,수신 후 포인트 사용 여부,-0.0026249764894524436,0.0026249764894524436
payment_count_d4_28,payment count d4 28,point_use_after_received_vote_count_d0_3,수신 후 포인트 사용 횟수,-0.0026062664357231428,0.0026062664357231428
payment_count_d4_28,payment count d4 28,friends_d3,D3 친구 수,-0.002569215262622629,0.002569215262622629
payment_count_d4_28,payment count d4 28,first_received_vote_day_d0_3,첫 수신 발생일,0.0007734155078264465,0.0007734155078264465
returned_d4_28,returned d4 28,grade_active_users_d0_3,D0-D3 같은 학년 활동 유저 수,0.1275481564176519,0.1275481564176519
returned_d4_28,returned d4 28,class_active_users_d0_3,D0-D3 같은 반 활동 유저 수,0.10658030971498936,0.10658030971498936
returned_d4_28,returned d4 28,grade_users_d0_3,D0-D3 같은 학년 유저 수,-0.03840460362712453,0.03840460362712453
returned_d4_28,returned d4 28,class_users_d0_3,D0-D3 같은 반 유저 수,0.03356910634240372,0.03356910634240372
returned_d4_28,returned d4 28,received_vote_days_d0_3,D0-D3 수신 발생일수,-0.024804668063426516,0.024804668063426516
returned_d4_28,returned d4 28,received_vote_count_d0_3,D0-D3 수신 Ping 수,-0.02478884402886323,0.02478884402886323
returned_d4_28,returned d4 28,received_vote_yn_d0_3,D0-D3 수신 경험 여부,-0.024778339993640944,0.024778339993640944
returned_d4_28,returned d4 28,sent_vote_experience_d0_3,D0-D3 발신 경험 여부,-0.01404536083117358,0.01404536083117358
returned_d4_28,returned d4 28,sent_vote_distinct_chosen_users_d0_3,D0-D3 선택 고유 유저 수,-0.014026150042689459,0.014026150042689459
returned_d4_28,returned d4 28,sent_vote_active_days_d0_3,D0-D3 발신 활동일수,-0.014008056583282356,0.014008056583282356
returned_d4_28,returned d4 28,sent_vote_count_d0_3,D0-D3 발신 투표 수,-0.013989551475821265,0.013989551475821265
returned_d4_28,returned d4 28,sent_vote_distinct_questions_d0_3,D0-D3 고유 질문 수,-0.013981939520833018,0.013981939520833018
returned_d4_28,returned d4 28,sent_vote_complete_rate_d0_3,D0-D3 발신 완료율,-0.01397083172510743,0.01397083172510743
returned_d4_28,returned d4 28,sent_vote_complete_count_d0_3,D0-D3 완료 발신 수,-0.013901971333509533,0.013901971333509533
returned_d4_28,returned d4 28,first_received_vote_day_d0_3,첫 수신 발생일,-0.011901763566874071,0.011901763566874071
returned_d4_28,returned d4 28,point_use_after_received_vote_yn_d0_3,수신 후 포인트 사용 여부,-0.011023245051524131,0.011023245051524131
returned_d4_28,returned d4 28,point_use_after_received_vote_count_d0_3,수신 후 포인트 사용 횟수,-0.010969874766720886,0.010969874766720886
returned_d4_28,returned d4 28,friends_d3,D3 친구 수,0.0008739309943985602,0.0008739309943985602
