top_k,top_k_rate,top_n,base_positive_rate,top_positive_rate,lift,captured_positive_count,capture_rate,target_name,target_col,population,feature_set,model_type
Top 10%,0.1,841,0.24223676383105294,0.2437574316290131,1.0062776094508128,205,0.1006876227897839,repeat_paid,repeat_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
Top 1%,0.01,85,0.24223676383105294,0.3176470588235294,1.3113082168034207,27,0.013261296660117878,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,Baseline Logistic
Top 3%,0.03,253,0.24223676383105294,0.2608695652173913,1.0769197915776885,66,0.03241650294695481,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,Baseline Logistic
Top 5%,0.05,421,0.24223676383105294,0.2517814726840855,1.0394023958299305,106,0.05206286836935167,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,Baseline Logistic
Top 10%,0.1,841,0.24223676383105294,0.2615933412604043,1.0799076784350188,220,0.10805500982318271,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,Baseline Logistic
Top 1%,0.01,85,0.24223676383105294,0.3058823529411765,1.2627412458107017,26,0.012770137524557957,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
Top 3%,0.03,253,0.24223676383105294,0.26877470355731226,1.1095537246558003,68,0.03339882121807466,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
Top 5%,0.05,421,0.24223676383105294,0.26128266033254155,1.0786251277480412,110,0.054027504911591355,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
Top 10%,0.1,841,0.24223676383105294,0.24851367419738407,1.0259122945132677,209,0.10265225933202357,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
Top 1%,0.01,85,0.28851873884592505,0.3764705882352941,1.3048392965433595,32,0.013195876288659794,high_value_paid,high_value_paid_d4_plus,결제 유저,B1_관계망,Baseline Logistic
Top 3%,0.03,253,0.28851873884592505,0.3952569169960474,1.3699523246811458,100,0.041237113402061855,high_value_paid,high_value_paid_d4_plus,결제 유저,B1_관계망,Baseline Logistic
Top 5%,0.05,421,0.28851873884592505,0.40380047505938244,1.3995641207728287,170,0.07010309278350516,high_value_paid,high_value_paid_d4_plus,결제 유저,B1_관계망,Baseline Logistic
Top 10%,0.1,841,0.28851873884592505,0.39595719381688466,1.3723794697034704,333,0.13731958762886598,high_value_paid,high_value_paid_d4_plus,결제 유저,B1_관계망,Baseline Logistic
Top 1%,0.01,85,0.28851873884592505,0.38823529411764707,1.3456155245603396,33,0.013608247422680412,high_value_paid,high_value_paid_d4_plus,결제 유저,B1_관계망,LightGBM
Top 3%,0.03,253,0.28851873884592505,0.3675889328063241,1.2740556619534655,93,0.038350515463917524,high_value_paid,high_value_paid_d4_plus,결제 유저,B1_관계망,LightGBM
Top 5%,0.05,421,0.28851873884592505,0.3515439429928741,1.2184440580845801,148,0.06103092783505155,high_value_paid,high_value_paid_d4_plus,결제 유저,B1_관계망,LightGBM
Top 10%,0.1,841,0.28851873884592505,0.3388822829964328,1.1745590056020692,285,0.11752577319587629,high_value_paid,high_value_paid_d4_plus,결제 유저,B1_관계망,LightGBM
Top 1%,0.01,85,0.28851873884592505,0.36470588235294116,1.2640630685263796,31,0.012783505154639175,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,Baseline Logistic
Top 3%,0.03,253,0.28851873884592505,0.3715415019762846,1.287755185200277,94,0.03876288659793815,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,Baseline Logistic
Top 5%,0.05,421,0.28851873884592505,0.3847980997624703,1.3337022797952838,162,0.0668041237113402,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,Baseline Logistic
Top 10%,0.1,841,0.28851873884592505,0.3935790725326992,1.364136950365912,331,0.13649484536082473,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,Baseline Logistic
Top 1%,0.01,85,0.28851873884592505,0.3764705882352941,1.3048392965433595,32,0.013195876288659794,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
Top 3%,0.03,253,0.28851873884592505,0.34782608695652173,1.2055580457194084,88,0.03628865979381443,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
Top 5%,0.05,421,0.28851873884592505,0.34679334916864607,1.2019785978401938,146,0.06020618556701031,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
Top 10%,0.1,841,0.28851873884592505,0.33174791914387636,1.149831447589394,279,0.11505154639175258,high_value_paid,high_value_paid_d4_plus,결제 유저,B2_관계망_발신,LightGBM
Top 1%,0.01,85,0.28851873884592505,0.38823529411764707,1.3456155245603396,33,0.013608247422680412,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,Baseline Logistic
Top 3%,0.03,253,0.28851873884592505,0.3715415019762846,1.287755185200277,94,0.03876288659793815,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,Baseline Logistic
Top 5%,0.05,421,0.28851873884592505,0.3847980997624703,1.3337022797952838,162,0.0668041237113402,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,Baseline Logistic
Top 10%,0.1,841,0.28851873884592505,0.39595719381688466,1.3723794697034704,333,0.13731958762886598,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,Baseline Logistic
Top 1%,0.01,85,0.28851873884592505,0.36470588235294116,1.2640630685263796,31,0.012783505154639175,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
Top 3%,0.03,253,0.28851873884592505,0.3557312252964427,1.2329570922130313,90,0.03711340206185567,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
Top 5%,0.05,421,0.28851873884592505,0.35391923990498814,1.2266767882067733,149,0.06144329896907216,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
Top 10%,0.1,841,0.28851873884592505,0.34720570749108204,1.2034078232835235,292,0.12041237113402062,high_value_paid,high_value_paid_d4_plus,결제 유저,B3_관계망_수신,LightGBM
Top 1%,0.01,85,0.28851873884592505,0.4117647058823529,1.4271679805942994,35,0.01443298969072165,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,Baseline Logistic
Top 3%,0.03,253,0.28851873884592505,0.37549407114624506,1.3014547084470884,95,0.03917525773195876,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,Baseline Logistic
Top 5%,0.05,421,0.28851873884592505,0.38004750593824227,1.3172368195508974,160,0.06597938144329897,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,Baseline Logistic
Top 10%,0.1,841,0.28851873884592505,0.3923900118906064,1.3600156906971328,330,0.1360824742268041,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,Baseline Logistic
Top 1%,0.01,85,0.28851873884592505,0.38823529411764707,1.3456155245603396,33,0.013608247422680412,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
Top 3%,0.03,253,0.28851873884592505,0.383399209486166,1.3288537549407116,97,0.04,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
Top 5%,0.05,421,0.28851873884592505,0.35391923990498814,1.2266767882067733,149,0.06144329896907216,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
Top 10%,0.1,841,0.28851873884592505,0.33174791914387636,1.149831447589394,279,0.11505154639175258,high_value_paid,high_value_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
