friend_date,status,friend_request_count,send_user_count,receive_user_count
2023-08-31,A,18,12,18
2023-08-31,P,264,27,264
2023-08-31,R,2,2,2
2023-09-01,R,1,1,1
2023-09-01,P,122,27,122
2023-09-01,A,19,14,19
2023-09-02,A,28,18,28
2023-09-02,P,375,43,372
2023-09-02,R,4,3,4
2023-09-03,A,59,23,58
2023-09-03,P,452,50,452
2023-09-03,R,4,3,4
2023-09-04,R,4,4,4
2023-09-04,A,33,19,28
2023-09-04,P,246,31,236
2023-09-05,A,40,15,40
2023-09-05,P,277,21,277
2023-09-05,R,1,1,1
2023-09-06,A,38,15,38
2023-09-06,P,289,22,288
2023-09-06,R,2,2,2
2023-09-07,A,14,8,14
2023-09-07,P,161,25,152
2023-09-07,R,2,2,2
2023-09-08,A,12,8,12
2023-09-08,P,130,22,130
2023-09-09,R,2,2,2
2023-09-09,A,64,20,64
2023-09-09,P,611,31,611
2023-09-10,R,3,3,3
2023-09-10,A,17,8,17
2023-09-10,P,210,35,209
2023-09-11,A,43,13,43
2023-09-11,P,368,34,358
2023-09-11,R,5,2,2
2023-09-12,A,47,16,42
2023-09-12,P,279,32,275
2023-09-12,R,5,4,5
2023-09-13,A,18,11,18
2023-09-13,P,170,44,170
2023-09-13,R,9,8,8
2023-09-14,A,23,19,23
2023-09-14,P,233,44,229
2023-09-14,R,10,9,9
2023-09-15,R,38,18,27
2023-09-15,P,295,86,295
2023-09-15,A,20,16,20
2023-09-16,A,35,24,35
2023-09-16,P,310,74,310
2023-09-16,R,9,8,8
2023-09-17,A,174,91,169
2023-09-17,P,1482,335,1465
2023-09-17,R,29,23,28
2023-09-18,A,196,119,195
2023-09-18,P,1976,382,1964
2023-09-18,R,38,30,37
2023-09-19,A,83,52,83
2023-09-19,P,1114,206,1109
2023-09-19,R,22,21,21
2023-09-20,P,681,107,680
2023-09-20,R,16,11,16
2023-09-20,A,55,31,54
2023-09-21,R,10,10,10
2023-09-21,A,46,28,46
2023-09-21,P,447,97,447
2023-09-22,A,32,20,32
2023-09-22,P,342,66,342
2023-09-22,R,11,10,10
2023-09-23,A,86,41,76
2023-09-23,P,839,142,824
2023-09-23,R,14,10,13
2023-09-24,A,140,67,102
2023-09-24,P,877,151,839
2023-09-24,R,22,18,21
2023-09-25,A,236,55,122
2023-09-25,P,618,103,541
2023-09-25,R,10,8,9
2023-09-26,P,694,87,675
2023-09-26,R,15,9,13
2023-09-26,A,135,40,88
2023-09-27,A,270,96,119
2023-09-27,P,818,149,684
2023-09-27,R,22,18,21
2023-09-28,A,176,59,103
2023-09-28,P,689,107,659
2023-09-28,R,16,12,13
2023-09-29,P,410,70,400
2023-09-29,A,39,26,37
2023-09-29,R,6,5,6
2023-09-30,A,36,23,36
2023-09-30,P,493,64,489
2023-09-30,R,14,12,14
2023-10-01,P,405,61,401
2023-10-01,R,7,7,7
2023-10-01,A,33,22,33
2023-10-02,R,4,4,4
2023-10-02,P,212,48,212
2023-10-02,A,18,15,18
2023-10-03,A,22,14,22
2023-10-03,P,475,58,474
2023-10-03,R,14,9,14
2023-10-04,A,20,12,18
2023-10-04,P,303,47,290
2023-10-04,R,3,3,3
2023-10-05,A,17,9,17
2023-10-05,P,273,38,265
2023-10-05,R,2,2,2
2023-10-06,R,5,5,5
2023-10-06,A,21,13,21
2023-10-06,P,289,41,285
2023-10-07,R,4,3,3
2023-10-07,P,267,38,256
2023-10-07,A,18,9,17
2023-10-08,A,53,20,47
2023-10-08,P,465,57,463
2023-10-08,R,24,8,24
2023-10-09,A,25,22,25
2023-10-09,P,535,59,535
2023-10-09,R,7,5,6
2023-10-10,R,1,1,1
2023-10-10,A,34,8,26
2023-10-10,P,151,36,148
2023-10-11,P,167,31,167
2023-10-11,R,10,9,10
2023-10-11,A,25,12,22
2023-10-12,P,161,21,161
2023-10-12,R,13,2,13
2023-10-12,A,9,8,9
2023-10-13,R,5,5,5
2023-10-13,P,277,33,277
2023-10-13,A,18,10,18
2023-10-14,A,57,9,43
2023-10-14,P,310,38,295
2023-10-14,R,9,4,9
2023-10-15,A,32,16,32
2023-10-15,P,306,35,305
2023-10-15,R,9,8,9
2023-10-16,A,13,8,13
2023-10-16,P,253,28,253
2023-10-16,R,1,1,1
2023-10-17,A,5,4,5
2023-10-17,P,141,17,141
2023-10-17,R,2,2,2
2023-10-18,P,122,30,117
2023-10-18,R,3,3,3
2023-10-18,A,3,3,3
2023-10-19,A,2,2,2
2023-10-19,P,48,14,48
2023-10-19,R,1,1,1
2023-10-20,A,26,11,26
2023-10-20,P,235,46,235
2023-10-20,R,2,2,2
2023-10-21,P,219,48,219
2023-10-21,A,20,17,20
2023-10-21,R,5,5,5
2023-10-22,A,23,11,23
2023-10-22,P,346,42,346
2023-10-22,R,8,6,7
2023-10-23,P,258,30,258
2023-10-23,R,3,3,3
2023-10-23,A,7,6,7
2023-10-24,R,2,2,2
2023-10-24,P,161,27,158
2023-10-24,A,10,7,9
2023-10-25,A,14,5,14
2023-10-25,P,153,28,151
2023-10-25,R,1,1,1
2023-10-26,A,14,7,14
2023-10-26,P,170,19,170
2023-10-26,R,2,2,2
2023-10-27,R,6,4,6
2023-10-27,P,164,28,164
2023-10-27,A,6,6,6
2023-10-28,A,13,7,13
2023-10-28,P,221,33,220
2023-10-28,R,6,4,6
2023-10-29,A,2,1,2
2023-10-29,P,207,34,207
2023-10-29,R,8,5,8
2023-10-30,P,155,22,151
2023-10-30,A,6,6,4
2023-10-31,A,5,5,5
2023-10-31,P,123,17,115
2023-10-31,R,10,5,9
2023-11-01,A,8,7,8
2023-11-01,P,135,28,135
2023-11-01,R,4,4,4
2023-11-02,A,8,7,7
2023-11-02,P,100,24,100
2023-11-02,R,3,3,3
2023-11-03,A,13,7,13
2023-11-03,P,191,26,191
2023-11-04,A,7,7,7
2023-11-04,P,258,32,257
2023-11-04,R,6,5,6
2023-11-05,R,3,3,3
2023-11-05,P,601,46,587
2023-11-05,A,48,22,44
2023-11-06,A,16,7,16
2023-11-06,P,309,35,306
2023-11-06,R,9,2,9
2023-11-07,A,9,9,9
2023-11-07,P,278,27,278
2023-11-07,R,3,3,3
2023-11-08,A,5,5,5
2023-11-08,P,344,35,344
2023-11-08,R,9,6,6
2023-11-09,A,15,8,15
2023-11-09,P,322,28,321
2023-11-09,R,25,2,25
2023-11-10,A,23,9,23
2023-11-10,P,680,43,678
2023-11-11,R,18,8,18
2023-11-11,A,59,32,55
2023-11-11,P,870,88,848
2023-11-12,A,112,52,102
2023-11-12,P,1994,153,1923
2023-11-12,R,7,6,7
2023-11-13,A,59,37,53
2023-11-13,P,1389,115,1299
2023-11-13,R,5,5,5
2023-11-14,A,57,31,54
2023-11-14,P,915,80,906
2023-11-14,R,10,6,10
2023-11-15,R,21,7,20
2023-11-15,A,33,20,33
2023-11-15,P,846,84,837
2023-11-16,P,908,88,897
2023-11-16,R,32,7,32
2023-11-16,A,34,26,33
2023-11-17,A,20,13,19
2023-11-17,P,513,49,502
